Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_file_ccp,cond_mean_diff_file_ccp,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
44,OverloadMethodsDeclarationOrder,982.0,22237.0,2147.0,7669.0,33035.0,0.7,0.26,0.09,0.31,0.2,0.11,0.09,0.09,0.69,0.01,-0.05,0.83,0.45,0.0,,142,12619,179,9588,22528,0.57,0.43,0.01,0.44,0.02,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.11,0.0,,0.25761332042080703,0.050302398566527295,True,0.7048811835996962,0.06999999999999995,2758,198,6667,155604,10241,88368,260880,0.62,0.36,0.06,0.39,0.08,0.07,0.06,0.06,0.62,0.01,-0.02,0.95,0.35,0.0,,108,180.0,12248.0,796.0,3310.0,16534.0,0.75,0.21,0.06,0.18,-0.13,0.05,0.06,0.04,0.75,-0.0,-0.05,0.74,0.32,0.0,,10,16.0,7262.0,32.0,1126.0,8436.0,0.86,0.14,0.01,0.33,1.46,0.01,0.0,0.01,0.86,0.0,-0.0,0.57,0.05,0.0,,39,617.0,4443.0,1488.0,1517.0,8065.0,0.63,0.26,0.26,0.29,0.11,0.29,0.25,0.17,0.61,0.02,-0.15,0.83,0.83,0.0,
45,EqualsAvoidNull,460.0,23382.0,1002.0,8191.0,33035.0,0.72,0.26,0.04,0.31,0.2,0.05,0.04,0.05,0.72,0.01,-0.02,0.83,0.26,0.0,,89,12670,128,9641,22528,0.57,0.43,0.01,0.41,-0.05,0.01,0.01,0.01,0.57,-0.0,-0.0,0.99,0.08,0.0,,0.2556148646405273,0.04830394278624761,True,0.13387513763799685,0.09999999999999998,1273,141,2645,162387,3458,92390,260880,0.63,0.36,0.02,0.43,0.19,0.03,0.02,0.03,0.63,0.01,-0.0,0.95,0.16,0.0,,56,85.0,12742.0,302.0,3405.0,16534.0,0.78,0.21,0.02,0.22,0.04,0.02,0.02,0.02,0.78,0.0,-0.02,0.74,0.16,0.0,,14,7.0,7276.0,18.0,1135.0,8436.0,0.86,0.14,0.0,0.28,1.07,0.01,0.0,0.01,0.86,0.0,-0.0,0.57,0.03,0.0,,46,300.0,5181.0,750.0,1834.0,8065.0,0.68,0.26,0.13,0.29,0.08,0.14,0.13,0.1,0.67,0.01,-0.08,0.83,0.56,0.0,
46,ClassFanOutComplexity,2887.0,18073.0,6311.0,5764.0,33035.0,0.63,0.26,0.28,0.31,0.2,0.33,0.26,0.19,0.61,0.05,-0.14,0.83,0.85,0.0,,108,12679,119,9622,22528,0.57,0.43,0.01,0.48,0.1,0.01,0.01,0.01,0.57,0.0,-0.0,0.99,0.08,0.0,,0.2601323487028711,0.05282142684859137,True,0.8074315660729745,0.020000000000000014,8450,203,10155,153706,12139,84880,260880,0.63,0.36,0.09,0.46,0.25,0.11,0.07,0.09,0.61,0.03,-0.01,0.95,0.42,0.0,,26,808.0,10531.0,2513.0,2682.0,16534.0,0.69,0.21,0.2,0.24,0.15,0.23,0.19,0.13,0.67,0.02,-0.13,0.74,0.72,0.0,,13,4.0,7284.0,10.0,1138.0,8436.0,0.86,0.14,0.0,0.29,1.11,0.0,0.0,0.0,0.86,0.0,-0.0,0.57,0.02,0.0,,75,1612.0,1680.0,4251.0,522.0,8065.0,0.41,0.26,0.73,0.27,0.04,0.76,0.72,0.25,0.39,0.04,-0.44,0.83,0.85,0.0,
47,VisibilityModifier,2335.0,19208.0,5176.0,6316.0,33035.0,0.65,0.26,0.23,0.31,0.19,0.27,0.21,0.17,0.63,0.04,-0.12,0.83,0.77,0.0,,378,12409,389,9352,22528,0.57,0.43,0.03,0.49,0.14,0.04,0.03,0.04,0.56,0.01,-0.0,0.99,0.21,0.0,,0.2490736010794165,0.04176267922513677,True,0.1069241041161756,0.05000000000000005,6021,328,10970,149993,15852,84065,260880,0.62,0.36,0.1,0.41,0.12,0.12,0.1,0.1,0.61,0.02,-0.03,0.95,0.48,0.0,,39,761.0,10533.0,2511.0,2729.0,16534.0,0.68,0.21,0.2,0.23,0.1,0.22,0.19,0.13,0.67,0.01,-0.13,0.74,0.72,0.0,,45,102.0,6760.0,534.0,1040.0,8436.0,0.81,0.14,0.08,0.16,0.18,0.09,0.07,0.06,0.81,0.0,-0.06,0.57,0.39,0.0,,54,1024.0,3352.0,2579.0,1110.0,8065.0,0.54,0.26,0.45,0.28,0.07,0.48,0.43,0.22,0.53,0.03,-0.26,0.83,0.99,0.0,
48,EmptyBlock,258.0,23811.0,573.0,8393.0,33035.0,0.73,0.26,0.03,0.31,0.19,0.03,0.02,0.03,0.73,0.0,-0.01,0.83,0.17,0.0,,71,12737,61,9659,22528,0.57,0.43,0.01,0.54,0.25,0.01,0.0,0.01,0.57,0.0,0.0,0.99,0.05,0.0,,0.2661039157484525,0.05879299389417275,True,0.5361055294269682,0.13,709,107,1990,164075,1770,93045,260880,0.64,0.36,0.01,0.53,0.45,0.02,0.01,0.02,0.63,0.01,0.0,0.95,0.11,0.0,,29,48.0,12892.0,152.0,3442.0,16534.0,0.78,0.21,0.01,0.24,0.14,0.01,0.01,0.01,0.78,0.0,-0.01,0.74,0.09,0.0,,130,0.0,7284.0,10.0,1142.0,8436.0,0.86,0.14,0.0,0.0,-1.0,0.0,0.0,0.0,0.86,-0.0,-0.0,0.57,0.01,0.0,,40,181.0,5491.0,440.0,1953.0,8065.0,0.7,0.26,0.08,0.29,0.1,0.08,0.07,0.07,0.7,0.01,-0.04,0.83,0.39,0.0,
49,ClassMemberImpliedModifier,703.0,22831.0,1553.0,7948.0,33035.0,0.71,0.26,0.07,0.31,0.19,0.08,0.06,0.07,0.71,0.01,-0.03,0.83,0.36,0.0,,61,12748,50,9669,22528,0.57,0.43,0.0,0.55,0.27,0.01,0.0,0.01,0.57,0.0,0.0,0.99,0.04,0.0,,0.2546433818881939,0.04733246003391417,True,0.7404934756014749,0.040000000000000036,1877,77,4092,161087,4758,90943,260880,0.63,0.36,0.03,0.46,0.27,0.04,0.03,0.04,0.63,0.01,-0.0,0.95,0.21,0.0,,35,208.0,12375.0,669.0,3282.0,16534.0,0.76,0.21,0.05,0.24,0.12,0.06,0.05,0.05,0.76,0.0,-0.04,0.74,0.3,0.0,,25,16.0,7229.0,65.0,1126.0,8436.0,0.86,0.14,0.01,0.2,0.46,0.01,0.01,0.01,0.86,0.0,-0.01,0.57,0.08,0.0,,55,366.0,4999.0,932.0,1768.0,8065.0,0.67,0.26,0.16,0.28,0.07,0.17,0.16,0.12,0.66,0.01,-0.1,0.83,0.64,0.0,
50,MissingSwitchDefault,561.0,23150.0,1234.0,8090.0,33035.0,0.72,0.26,0.05,0.31,0.19,0.06,0.05,0.06,0.71,0.01,-0.03,0.83,0.3,0.0,,83,12731,67,9647,22528,0.57,0.43,0.01,0.55,0.28,0.01,0.01,0.01,0.57,0.0,0.0,0.99,0.06,0.0,,0.2545638336369753,0.04725291178269553,False,0.20858976099712515,0.06000000000000005,1537,97,4593,160010,5835,90442,260880,0.63,0.36,0.04,0.44,0.21,0.05,0.04,0.05,0.62,0.01,-0.01,0.95,0.24,0.0,,32,138.0,12605.0,439.0,3352.0,16534.0,0.77,0.21,0.03,0.24,0.13,0.04,0.03,0.04,0.77,0.0,-0.02,0.74,0.22,0.0,,12,10.0,7271.0,23.0,1132.0,8436.0,0.86,0.14,0.0,0.3,1.24,0.01,0.0,0.01,0.86,0.0,-0.0,0.57,0.04,0.0,,116,296.0,5042.0,889.0,1838.0,8065.0,0.66,0.26,0.15,0.25,-0.06,0.14,0.15,0.1,0.67,-0.01,-0.1,0.83,0.6,0.0,
51,AvoidInlineConditionals,3205.0,17217.0,7167.0,5446.0,33035.0,0.62,0.26,0.31,0.31,0.18,0.37,0.29,0.2,0.59,0.05,-0.16,0.83,0.9,0.0,,447,12358,440,9283,22528,0.57,0.43,0.04,0.5,0.17,0.05,0.03,0.04,0.56,0.01,0.0,0.99,0.24,0.0,,0.2492855559866383,0.04197463413235855,True,0.6382622119704303,0.040000000000000036,8011,293,13610,146014,19831,81425,260880,0.61,0.36,0.13,0.41,0.12,0.14,0.12,0.12,0.6,0.02,-0.04,0.95,0.55,0.0,,37,1076.0,9511.0,3533.0,2414.0,16534.0,0.64,0.21,0.28,0.23,0.11,0.31,0.27,0.15,0.63,0.02,-0.19,0.74,0.85,0.0,,62,65.0,6899.0,395.0,1077.0,8436.0,0.83,0.14,0.05,0.14,0.04,0.06,0.05,0.04,0.82,0.0,-0.05,0.57,0.31,0.0,,65,1487.0,2115.0,3816.0,647.0,8065.0,0.45,0.26,0.66,0.28,0.06,0.7,0.64,0.25,0.43,0.05,-0.39,0.83,0.93,0.0,
52,VariableDeclarationUsageDistance,1018.0,22111.0,2273.0,7633.0,33035.0,0.7,0.26,0.1,0.31,0.18,0.12,0.09,0.09,0.69,0.01,-0.05,0.83,0.47,0.0,,228,12589,209,9502,22528,0.57,0.43,0.02,0.52,0.21,0.02,0.02,0.02,0.57,0.01,0.0,0.99,0.14,0.0,,0.25609517397141845,0.048784252117138716,True,0.20407302522344298,0.08999999999999997,2859,271,5341,158900,6945,89694,260880,0.63,0.36,0.05,0.43,0.19,0.06,0.04,0.05,0.62,0.01,-0.01,0.95,0.27,0.0,,46,239.0,12226.0,818.0,3251.0,16534.0,0.75,0.21,0.06,0.23,0.07,0.07,0.06,0.06,0.75,0.0,-0.04,0.74,0.34,0.0,,113,1.0,7257.0,37.0,1141.0,8436.0,0.86,0.14,0.0,0.03,-0.81,0.0,0.01,0.0,0.86,-0.0,-0.0,0.57,0.04,0.0,,64,616.0,4351.0,1580.0,1518.0,8065.0,0.62,0.26,0.27,0.28,0.06,0.29,0.27,0.17,0.61,0.01,-0.16,0.83,0.84,0.0,
53,CommentsIndentation,783.0,22607.0,1777.0,7868.0,33035.0,0.71,0.26,0.08,0.31,0.17,0.09,0.07,0.08,0.7,0.01,-0.04,0.83,0.39,0.0,,314,12482,316,9416,22528,0.57,0.43,0.03,0.5,0.15,0.03,0.02,0.03,0.56,0.01,-0.0,0.99,0.18,0.0,,0.2474713499882013,0.04016042813392154,True,0.18865339939690748,0.15000000000000002,2340,407,4273,160177,5668,90762,260880,0.63,0.36,0.04,0.43,0.18,0.04,0.03,0.04,0.63,0.01,-0.01,0.95,0.23,0.0,,89,169.0,12384.0,660.0,3321.0,16534.0,0.76,0.21,0.05,0.2,-0.03,0.05,0.05,0.04,0.76,-0.0,-0.04,0.74,0.29,0.0,,33,11.0,7244.0,50.0,1131.0,8436.0,0.86,0.14,0.01,0.18,0.33,0.01,0.01,0.01,0.86,0.0,-0.01,0.57,0.06,0.0,,58,474.0,4735.0,1196.0,1660.0,8065.0,0.65,0.26,0.21,0.28,0.07,0.22,0.2,0.14,0.64,0.01,-0.12,0.83,0.74,0.0,
54,ConstantName,1578.0,20795.0,3589.0,7073.0,33035.0,0.68,0.26,0.16,0.31,0.17,0.18,0.15,0.13,0.66,0.02,-0.08,0.83,0.63,0.0,,107,12655,143,9623,22528,0.57,0.43,0.01,0.43,-0.01,0.01,0.01,0.01,0.57,-0.0,-0.0,0.99,0.09,0.0,,0.24468366410206666,0.037372742247786916,True,0.31412025189219456,0.040000000000000036,3731,159,4906,159643,6202,90129,260880,0.63,0.36,0.04,0.44,0.21,0.05,0.04,0.05,0.62,0.01,-0.01,0.95,0.25,0.0,,23,623.0,11150.0,1894.0,2867.0,16534.0,0.71,0.21,0.15,0.25,0.17,0.18,0.15,0.12,0.7,0.02,-0.1,0.74,0.62,0.0,,94,34.0,7009.0,285.0,1108.0,8436.0,0.83,0.14,0.04,0.11,-0.21,0.03,0.04,0.02,0.84,-0.0,-0.03,0.57,0.23,0.0,,74,639.0,4239.0,1692.0,1495.0,8065.0,0.6,0.26,0.29,0.27,0.04,0.3,0.29,0.17,0.6,0.01,-0.18,0.83,0.87,0.0,
55,IllegalToken,59.0,24250.0,134.0,8592.0,33035.0,0.74,0.26,0.01,0.31,0.17,0.01,0.01,0.01,0.74,0.0,-0.0,0.83,0.05,0.0,,6,12797,1,9724,22528,0.57,0.43,0.0,0.86,0.98,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,,0.27315147521844946,0.06584055336416972,False,0.14292391043611907,0.030000000000000027,173,6,1903,164093,1752,93132,260880,0.64,0.36,0.01,0.52,0.43,0.02,0.01,0.02,0.63,0.01,0.0,0.95,0.11,0.0,,141,2.0,13015.0,29.0,3488.0,16534.0,0.79,0.21,0.0,0.06,-0.69,0.0,0.0,0.0,0.79,-0.0,-0.0,0.74,0.02,0.0,,115,0.0,7294.0,0.0,1142.0,8436.0,0.86,0.14,0.0,0.0,-1.0,0.0,0.0,0.0,0.86,0.0,0.0,0.57,0.0,0.0,,71,45.0,5814.0,117.0,2089.0,8065.0,0.73,0.26,0.02,0.28,0.05,0.02,0.02,0.02,0.73,0.0,-0.01,0.83,0.14,0.0,
56,UnnecessarySemicolonInTryWithResources,12.0,24357.0,27.0,8639.0,33035.0,0.74,0.26,0.0,0.31,0.17,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.01,0.0,,1,12797,1,9729,22528,0.57,0.43,0.0,0.5,0.16,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.0,0.0,,0.2667975387632553,0.05948661690897561,False,0.012794488770365313,0.040000000000000036,25,1,0,165845,0,95035,260880,0.64,0.36,0.0,0.0,-1.0,0.0,0.0,0.0,0.64,-0.0,-0.0,0.95,0.0,-0.0,,132,2.0,13030.0,14.0,3488.0,16534.0,0.79,0.21,0.0,0.12,-0.41,0.0,0.0,0.0,0.79,-0.0,-0.0,0.74,0.01,0.0,,5,1.0,7293.0,1.0,1141.0,8436.0,0.86,0.14,0.0,0.5,2.69,0.0,0.0,0.0,0.86,0.0,0.0,0.57,0.0,0.0,,50,6.0,5916.0,15.0,2128.0,8065.0,0.73,0.26,0.0,0.29,0.08,0.0,0.0,0.0,0.73,0.0,-0.0,0.83,0.03,0.0,
57,ArrayTypeStyle,176.0,23980.0,404.0,8475.0,33035.0,0.73,0.26,0.02,0.3,0.16,0.02,0.02,0.02,0.73,0.0,-0.01,0.83,0.13,0.0,,18,12768,30,9712,22528,0.57,0.43,0.0,0.38,-0.13,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.02,0.0,,0.23501250929281214,0.027701587438532432,True,0.03923584630972978,0.09999999999999998,401,43,1116,164315,1530,93919,260880,0.63,0.36,0.01,0.42,0.16,0.01,0.01,0.01,0.63,0.0,-0.0,0.95,0.08,0.0,,112,32.0,12895.0,149.0,3458.0,16534.0,0.78,0.21,0.01,0.18,-0.16,0.01,0.01,0.01,0.78,-0.0,-0.01,0.74,0.09,0.0,,18,5.0,7279.0,15.0,1137.0,8436.0,0.86,0.14,0.0,0.25,0.85,0.0,0.0,0.0,0.86,0.0,-0.0,0.57,0.02,0.0,,32,113.0,5665.0,266.0,2021.0,8065.0,0.72,0.26,0.05,0.3,0.13,0.05,0.04,0.05,0.71,0.0,-0.03,0.83,0.27,0.0,
58,MagicNumber,3136.0,17092.0,7292.0,5515.0,33035.0,0.61,0.26,0.32,0.3,0.15,0.36,0.3,0.2,0.59,0.04,-0.17,0.83,0.9,0.0,,584,12306,492,9146,22528,0.57,0.43,0.05,0.54,0.26,0.06,0.04,0.06,0.56,0.02,0.01,0.99,0.28,0.0,,0.24565641728076654,0.038345495426486825,True,0.54381063586288,0.05000000000000005,7777,394,13852,146583,19262,81183,260880,0.61,0.36,0.13,0.42,0.15,0.15,0.12,0.12,0.6,0.02,-0.03,0.95,0.55,0.0,,51,1073.0,9335.0,3709.0,2417.0,16534.0,0.63,0.21,0.29,0.22,0.06,0.31,0.28,0.15,0.62,0.01,-0.2,0.74,0.87,0.0,,31,121.0,6753.0,541.0,1021.0,8436.0,0.81,0.14,0.08,0.18,0.35,0.11,0.07,0.07,0.81,0.01,-0.06,0.57,0.4,0.0,,44,1420.0,2367.0,3564.0,714.0,8065.0,0.47,0.26,0.62,0.28,0.08,0.67,0.6,0.25,0.44,0.06,-0.36,0.83,0.96,0.0,
59,MethodName,229.0,23855.0,529.0,8422.0,33035.0,0.73,0.26,0.02,0.3,0.15,0.03,0.02,0.02,0.73,0.0,-0.01,0.83,0.16,0.0,,36,12767,31,9694,22528,0.57,0.43,0.0,0.54,0.24,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.03,0.0,,0.2377879533158379,0.030477031461558137,True,0.2687824522731841,0.06000000000000005,616,36,2568,163041,2804,92467,260880,0.63,0.36,0.02,0.48,0.31,0.03,0.02,0.03,0.63,0.01,-0.0,0.95,0.14,0.0,,94,39.0,12887.0,157.0,3451.0,16534.0,0.78,0.21,0.01,0.2,-0.06,0.01,0.01,0.01,0.78,-0.0,-0.01,0.74,0.09,0.0,,39,2.0,7284.0,10.0,1140.0,8436.0,0.86,0.14,0.0,0.17,0.23,0.0,0.0,0.0,0.86,0.0,-0.0,0.57,0.02,0.0,,70,153.0,5534.0,397.0,1981.0,8065.0,0.71,0.26,0.07,0.28,0.05,0.07,0.07,0.06,0.7,0.0,-0.04,0.83,0.36,0.0,
60,NestedForDepth,233.0,23842.0,542.0,8418.0,33035.0,0.73,0.26,0.02,0.3,0.15,0.03,0.02,0.03,0.73,0.0,-0.01,0.83,0.16,0.0,,38,12761,37,9692,22528,0.57,0.43,0.0,0.51,0.17,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.03,0.0,,0.2669702108579581,0.05965928900367834,False,0.06494780111142948,0.07999999999999996,578,53,1784,163703,2142,93251,260880,0.63,0.36,0.02,0.45,0.25,0.02,0.01,0.02,0.63,0.0,-0.0,0.95,0.11,0.0,,53,42.0,12896.0,148.0,3448.0,16534.0,0.78,0.21,0.01,0.22,0.05,0.01,0.01,0.01,0.78,0.0,-0.01,0.74,0.09,0.0,,9,1.0,7292.0,2.0,1141.0,8436.0,0.86,0.14,0.0,0.33,1.46,0.0,0.0,0.0,0.86,0.0,-0.0,0.57,0.0,0.0,,110,148.0,5497.0,434.0,1986.0,8065.0,0.7,0.26,0.07,0.25,-0.04,0.07,0.07,0.06,0.7,-0.0,-0.05,0.83,0.37,0.0,
61,CatchParameterName,360.0,23544.0,840.0,8291.0,33035.0,0.72,0.26,0.04,0.3,0.15,0.04,0.03,0.04,0.72,0.0,-0.02,0.83,0.23,0.0,,62,12746,52,9668,22528,0.57,0.43,0.01,0.54,0.26,0.01,0.0,0.01,0.57,0.0,0.0,0.99,0.05,0.0,,0.24377495076790434,0.0364640289136246,True,0.16560410270862422,0.06999999999999995,941,70,2037,163977,1868,92998,260880,0.64,0.36,0.01,0.52,0.43,0.02,0.01,0.02,0.63,0.01,0.0,0.95,0.11,0.0,,61,74.0,12778.0,266.0,3416.0,16534.0,0.78,0.21,0.02,0.22,0.03,0.02,0.02,0.02,0.78,0.0,-0.01,0.74,0.14,0.0,,112,3.0,7221.0,73.0,1139.0,8436.0,0.86,0.14,0.01,0.04,-0.71,0.0,0.01,0.0,0.86,-0.0,-0.01,0.57,0.07,0.0,,36,230.0,5377.0,554.0,1904.0,8065.0,0.7,0.26,0.1,0.29,0.11,0.11,0.09,0.09,0.69,0.01,-0.05,0.83,0.46,0.0,
62,SeparatorWrap,3455.0,16264.0,8120.0,5196.0,33035.0,0.6,0.26,0.35,0.3,0.14,0.4,0.33,0.21,0.57,0.04,-0.19,0.83,0.93,0.0,,465,12309,489,9265,22528,0.57,0.43,0.04,0.49,0.13,0.05,0.04,0.05,0.56,0.01,-0.0,0.99,0.25,0.0,,0.24199599033835986,0.034685068484080116,True,0.3890301774441552,0.040000000000000036,7873,320,11551,138477,27368,83484,260880,0.58,0.36,0.15,0.3,-0.19,0.12,0.17,0.09,0.6,-0.03,-0.1,0.95,0.61,0.0,,45,1356.0,8446.0,4598.0,2134.0,16534.0,0.59,0.21,0.36,0.23,0.08,0.39,0.35,0.17,0.58,0.02,-0.25,0.74,0.94,0.0,,52,197.0,6190.0,1104.0,945.0,8436.0,0.76,0.14,0.15,0.15,0.12,0.17,0.15,0.09,0.75,0.01,-0.12,0.57,0.62,0.0,,62,1215.0,2826.0,3105.0,919.0,8065.0,0.5,0.26,0.54,0.28,0.06,0.57,0.52,0.23,0.48,0.04,-0.32,0.83,1.0,0.0,
63,MultipleStringLiterals,3833.0,15380.0,9004.0,4818.0,33035.0,0.58,0.26,0.39,0.3,0.14,0.44,0.37,0.22,0.55,0.05,-0.21,0.83,0.96,0.0,,690,12092,706,9040,22528,0.57,0.43,0.06,0.49,0.14,0.07,0.06,0.07,0.56,0.01,-0.0,0.99,0.34,0.0,,0.24275817898974825,0.035447257135468514,True,0.3338142511088357,0.040000000000000036,10482,384,14880,145432,20413,80155,260880,0.61,0.36,0.14,0.42,0.16,0.16,0.12,0.13,0.6,0.03,-0.03,0.95,0.57,0.0,,48,1364.0,8351.0,4693.0,2126.0,16534.0,0.59,0.21,0.37,0.23,0.07,0.39,0.36,0.17,0.58,0.02,-0.26,0.74,0.95,0.0,,75,70.0,6821.0,473.0,1072.0,8436.0,0.82,0.14,0.06,0.13,-0.05,0.06,0.06,0.04,0.82,-0.0,-0.06,0.57,0.34,0.0,,77,1704.0,1398.0,4533.0,430.0,8065.0,0.38,0.26,0.77,0.27,0.03,0.8,0.76,0.26,0.37,0.04,-0.48,0.83,0.77,0.0,
64,ExplicitInitialization,1319.0,21264.0,3120.0,7332.0,33035.0,0.68,0.26,0.13,0.3,0.13,0.15,0.13,0.11,0.67,0.01,-0.07,0.83,0.57,0.0,,200,12607,191,9530,22528,0.57,0.43,0.02,0.51,0.18,0.02,0.01,0.02,0.57,0.0,0.0,0.99,0.13,0.0,,0.2433139581878367,0.03600303633355695,True,0.31420758504662605,0.05000000000000005,3837,196,6753,157264,8581,88282,260880,0.63,0.36,0.06,0.44,0.21,0.07,0.05,0.07,0.62,0.01,-0.01,0.95,0.32,0.0,,72,367.0,11693.0,1351.0,3123.0,16534.0,0.73,0.21,0.1,0.21,0.01,0.11,0.1,0.08,0.73,0.0,-0.08,0.74,0.48,0.0,,57,18.0,7189.0,105.0,1124.0,8436.0,0.85,0.14,0.01,0.15,0.08,0.02,0.01,0.01,0.85,0.0,-0.01,0.57,0.11,0.0,,85,700.0,4033.0,1898.0,1434.0,8065.0,0.59,0.26,0.32,0.27,0.02,0.33,0.32,0.17,0.58,0.01,-0.2,0.83,0.91,0.0,
65,ParenPad,809.0,22452.0,1932.0,7842.0,33035.0,0.7,0.26,0.08,0.3,0.13,0.09,0.08,0.08,0.7,0.01,-0.05,0.83,0.41,0.0,,240,12461,337,9490,22528,0.56,0.43,0.03,0.42,-0.04,0.02,0.03,0.02,0.56,-0.0,-0.01,0.99,0.17,0.0,,0.24355208541085666,0.03624116355657689,False,0.09525112458386252,0.16000000000000006,1896,350,3301,161509,4336,91734,260880,0.63,0.36,0.03,0.43,0.19,0.03,0.03,0.03,0.63,0.01,-0.01,0.95,0.19,0.0,,65,259.0,12104.0,940.0,3231.0,16534.0,0.75,0.21,0.07,0.22,0.02,0.07,0.07,0.06,0.75,0.0,-0.05,0.74,0.38,0.0,,79,30.0,7085.0,209.0,1112.0,8436.0,0.84,0.14,0.03,0.13,-0.07,0.03,0.03,0.02,0.84,-0.0,-0.02,0.57,0.19,0.0,,73,358.0,4986.0,945.0,1776.0,8065.0,0.66,0.26,0.16,0.27,0.04,0.17,0.16,0.12,0.66,0.0,-0.1,0.83,0.64,0.0,
66,RedundantModifier,846.0,22364.0,2020.0,7805.0,33035.0,0.7,0.26,0.09,0.3,0.13,0.1,0.08,0.08,0.7,0.01,-0.05,0.83,0.43,0.0,,151,12607,191,9579,22528,0.57,0.43,0.02,0.44,0.02,0.02,0.01,0.02,0.57,0.0,-0.0,0.99,0.11,0.0,,0.23780332280741875,0.03049240095313901,True,0.4562030464727767,0.08999999999999997,2231,226,5803,156557,9288,89232,260880,0.62,0.36,0.06,0.38,0.06,0.06,0.06,0.06,0.62,0.0,-0.02,0.95,0.32,0.0,,83,213.0,12235.0,809.0,3277.0,16534.0,0.75,0.21,0.06,0.21,-0.01,0.06,0.06,0.05,0.75,-0.0,-0.05,0.74,0.33,0.0,,76,40.0,7023.0,271.0,1102.0,8436.0,0.84,0.14,0.04,0.13,-0.05,0.04,0.04,0.03,0.84,-0.0,-0.03,0.57,0.23,0.0,,52,433.0,4831.0,1100.0,1701.0,8065.0,0.65,0.26,0.19,0.28,0.07,0.2,0.19,0.13,0.65,0.01,-0.11,0.83,0.7,0.0,
67,SummaryJavadoc,3695.0,15621.0,8763.0,4956.0,33035.0,0.58,0.26,0.38,0.3,0.13,0.43,0.36,0.21,0.56,0.05,-0.21,0.83,0.96,0.0,,349,12447,351,9381,22528,0.57,0.43,0.03,0.5,0.15,0.04,0.03,0.03,0.56,0.01,-0.0,0.99,0.2,0.0,,0.2363059132603579,0.028994991406078138,True,0.6216150369114319,0.030000000000000027,9387,247,6476,154285,11560,88559,260880,0.62,0.36,0.07,0.36,-0.01,0.07,0.07,0.06,0.62,-0.0,-0.03,0.95,0.36,0.0,,55,1282.0,8520.0,4524.0,2208.0,16534.0,0.59,0.21,0.35,0.22,0.05,0.37,0.35,0.16,0.59,0.01,-0.25,0.74,0.94,0.0,,34,359.0,5619.0,1675.0,783.0,8436.0,0.71,0.14,0.24,0.18,0.3,0.31,0.23,0.13,0.69,0.03,-0.18,0.57,0.8,0.0,,51,1311.0,2624.0,3307.0,823.0,8065.0,0.49,0.26,0.57,0.28,0.07,0.61,0.56,0.24,0.47,0.05,-0.34,0.83,0.98,0.0,
