Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_same_day_duration_avg,cond_mean_diff_same_day_duration_avg,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
44,AvoidNestedBlocks,276.0,24214.0,608.0,7937.0,33035.0,0.74,0.25,0.03,0.31,0.26,0.03,0.02,0.03,0.74,0.0,-0.01,0.81,0.18,0.0,,43,11241,31,11213,22528,0.5,0.5,0.0,0.58,0.16,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.03,0.0,,111.26839014195805,9.04831537773076,True,0.5807526267633798,0.06000000000000005,767,47,4114,137732,4401,114633,260880,0.54,0.46,0.03,0.48,0.06,0.03,0.03,0.03,0.54,0.0,-0.0,0.99,0.21,0.0,,112,50.0,12257.0,163.0,4064.0,16534.0,0.74,0.25,0.01,0.23,-0.06,0.01,0.01,0.01,0.74,-0.0,-0.01,0.81,0.1,0.0,,18,4.0,7035.0,8.0,1389.0,8436.0,0.83,0.17,0.0,0.33,1.02,0.0,0.0,0.0,0.83,0.0,-0.0,0.65,0.02,0.0,,78,222.0,4922.0,437.0,2484.0,8065.0,0.64,0.34,0.08,0.34,0.0,0.08,0.08,0.07,0.64,0.0,-0.04,0.92,0.41,0.0,
45,MethodName,237.0,24301.0,521.0,7976.0,33035.0,0.74,0.25,0.02,0.31,0.26,0.03,0.02,0.03,0.74,0.0,-0.01,0.81,0.16,0.0,,38,11243,29,11218,22528,0.5,0.5,0.0,0.57,0.14,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.03,0.0,,113.38263462289535,11.16255985866809,False,0.2687824522731841,0.06000000000000005,616,36,2453,139214,2919,116294,260880,0.54,0.46,0.02,0.46,0.0,0.02,0.02,0.02,0.54,0.0,-0.0,0.99,0.14,0.0,,111,46.0,12270.0,150.0,4068.0,16534.0,0.74,0.25,0.01,0.23,-0.06,0.01,0.01,0.01,0.75,-0.0,-0.01,0.81,0.09,0.0,,12,5.0,7036.0,7.0,1388.0,8436.0,0.83,0.17,0.0,0.42,1.52,0.0,0.0,0.0,0.83,0.0,-0.0,0.65,0.02,0.0,,65,186.0,4995.0,364.0,2520.0,8065.0,0.64,0.34,0.07,0.34,0.01,0.07,0.07,0.06,0.64,0.0,-0.03,0.92,0.36,0.0,
46,MissingDeprecated,277.0,24209.0,613.0,7936.0,33035.0,0.74,0.25,0.03,0.31,0.25,0.03,0.02,0.03,0.74,0.0,-0.01,0.81,0.18,0.0,,73,11168,104,11183,22528,0.5,0.5,0.01,0.41,-0.17,0.01,0.01,0.01,0.5,-0.0,-0.0,1.0,0.07,0.0,,115.46715207993245,13.247077315705171,True,0.06573097655374156,0.17000000000000004,733,147,1675,140453,1680,117072,260880,0.54,0.46,0.01,0.5,0.1,0.01,0.01,0.01,0.54,0.0,-0.0,0.99,0.1,0.0,,58,73.0,12222.0,198.0,4041.0,16534.0,0.74,0.25,0.02,0.27,0.08,0.02,0.02,0.02,0.74,0.0,-0.01,0.81,0.12,0.0,,35,7.0,7022.0,21.0,1386.0,8436.0,0.83,0.17,0.0,0.25,0.51,0.01,0.0,0.0,0.83,0.0,-0.0,0.65,0.03,0.0,,93,197.0,4965.0,394.0,2509.0,8065.0,0.64,0.34,0.07,0.33,-0.01,0.07,0.07,0.06,0.64,-0.0,-0.04,0.92,0.38,0.0,
47,NeedBraces,1855.0,20706.0,4116.0,6358.0,33035.0,0.68,0.25,0.18,0.31,0.25,0.23,0.17,0.15,0.66,0.03,-0.09,0.81,0.68,0.0,,460,10901,371,10796,22528,0.5,0.5,0.04,0.55,0.11,0.04,0.03,0.04,0.5,0.01,0.01,1.0,0.23,0.0,,116.36041457459999,14.140339810372733,True,0.3844737992426976,0.06000000000000005,4352,290,8123,131771,10362,110624,260880,0.54,0.46,0.07,0.44,-0.03,0.07,0.07,0.06,0.54,-0.0,-0.02,0.99,0.37,0.0,,24,827.0,10449.0,1971.0,3287.0,16534.0,0.68,0.25,0.17,0.3,0.19,0.2,0.16,0.14,0.67,0.02,-0.09,0.81,0.66,0.0,,38,90.0,6755.0,288.0,1303.0,8436.0,0.81,0.17,0.04,0.24,0.44,0.06,0.04,0.05,0.8,0.01,-0.03,0.65,0.26,0.0,,84,938.0,3502.0,1857.0,1768.0,8065.0,0.55,0.34,0.35,0.34,0.0,0.35,0.35,0.21,0.55,0.0,-0.17,0.92,0.93,0.0,
48,EqualsAvoidNull,454.0,23814.0,1008.0,7759.0,33035.0,0.73,0.25,0.04,0.31,0.25,0.06,0.04,0.05,0.73,0.01,-0.02,0.81,0.26,0.0,,111,11166,106,11145,22528,0.5,0.5,0.01,0.51,0.02,0.01,0.01,0.01,0.5,0.0,0.0,1.0,0.08,0.0,,114.20418021953236,11.984105455305086,False,0.13387513763799685,0.09999999999999998,1273,141,2843,138873,3260,115904,260880,0.54,0.46,0.02,0.47,0.02,0.02,0.02,0.02,0.54,0.0,-0.0,0.99,0.16,0.0,,84,96.0,12129.0,291.0,4018.0,16534.0,0.74,0.25,0.02,0.25,-0.0,0.02,0.02,0.02,0.74,-0.0,-0.02,0.81,0.16,0.0,,81,4.0,7022.0,21.0,1389.0,8436.0,0.83,0.17,0.0,0.16,-0.03,0.0,0.0,0.0,0.83,-0.0,-0.0,0.65,0.03,0.0,,80,354.0,4663.0,696.0,2352.0,8065.0,0.62,0.34,0.13,0.34,0.0,0.13,0.13,0.1,0.62,0.0,-0.06,0.92,0.56,0.0,
49,ReturnCount,3138.0,17824.0,6998.0,5075.0,33035.0,0.63,0.25,0.31,0.31,0.25,0.38,0.28,0.21,0.6,0.06,-0.16,0.81,0.89,0.01,,362,10926,346,10894,22528,0.5,0.5,0.03,0.51,0.02,0.03,0.03,0.03,0.5,0.0,0.0,1.0,0.2,0.0,,115.9135240242154,13.693449259988116,True,0.5683202399651038,0.030000000000000027,7978,287,13916,127875,14258,104831,260880,0.54,0.46,0.11,0.49,0.09,0.12,0.1,0.1,0.54,0.02,-0.0,0.99,0.49,0.0,,43,1210.0,9259.0,3161.0,2904.0,16534.0,0.63,0.25,0.26,0.28,0.11,0.29,0.25,0.17,0.62,0.02,-0.16,0.81,0.83,0.0,,64,64.0,6750.0,293.0,1329.0,8436.0,0.81,0.17,0.04,0.18,0.09,0.05,0.04,0.04,0.81,0.0,-0.03,0.65,0.25,0.0,,51,1864.0,1815.0,3544.0,842.0,8065.0,0.46,0.34,0.67,0.34,0.03,0.69,0.66,0.3,0.44,0.03,-0.31,0.92,0.91,0.0,
50,VariableDeclarationUsageDistance,1023.0,22554.0,2268.0,7190.0,33035.0,0.71,0.25,0.1,0.31,0.25,0.12,0.09,0.1,0.7,0.02,-0.05,0.81,0.47,0.0,,216,11051,221,11040,22528,0.5,0.5,0.02,0.49,-0.01,0.02,0.02,0.02,0.5,-0.0,-0.0,1.0,0.14,0.0,,118.04333255713827,15.823257792910981,True,0.20407302522344298,0.08999999999999997,2859,271,5631,135478,6655,113116,260880,0.54,0.46,0.05,0.46,0.01,0.05,0.05,0.04,0.54,0.0,-0.01,0.99,0.27,0.0,,74,271.0,11634.0,786.0,3843.0,16534.0,0.72,0.25,0.06,0.26,0.03,0.07,0.06,0.06,0.72,0.0,-0.04,0.81,0.34,0.0,,101,5.0,7010.0,33.0,1388.0,8436.0,0.83,0.17,0.0,0.13,-0.2,0.0,0.0,0.0,0.83,-0.0,-0.0,0.65,0.04,0.0,,67,747.0,3910.0,1449.0,1959.0,8065.0,0.58,0.34,0.27,0.34,0.01,0.28,0.27,0.18,0.57,0.0,-0.13,0.92,0.84,0.0,
51,ExplicitInitialization,1368.0,21751.0,3071.0,6845.0,33035.0,0.7,0.25,0.13,0.31,0.24,0.17,0.12,0.12,0.68,0.02,-0.07,0.81,0.57,0.0,,200,11081,191,11056,22528,0.5,0.5,0.02,0.51,0.02,0.02,0.02,0.02,0.5,0.0,0.0,1.0,0.13,0.0,,113.59723929549256,11.377164531265295,False,0.31420758504662605,0.05000000000000005,3837,196,7209,134008,8125,111538,260880,0.54,0.46,0.06,0.47,0.03,0.06,0.06,0.06,0.54,0.0,-0.01,0.99,0.32,0.0,,69,442.0,11144.0,1276.0,3672.0,16534.0,0.7,0.25,0.1,0.26,0.03,0.11,0.1,0.08,0.7,0.0,-0.07,0.81,0.48,0.0,,85,19.0,6939.0,104.0,1374.0,8436.0,0.82,0.17,0.01,0.15,-0.06,0.01,0.01,0.01,0.83,-0.0,-0.01,0.65,0.11,0.0,,42,907.0,3668.0,1691.0,1799.0,8065.0,0.57,0.34,0.32,0.35,0.04,0.34,0.32,0.21,0.56,0.02,-0.15,0.92,0.91,0.0,
52,VisibilityModifier,2307.0,19618.0,5204.0,5906.0,33035.0,0.66,0.25,0.23,0.31,0.24,0.28,0.21,0.17,0.64,0.04,-0.12,0.81,0.77,0.0,,397,10902,370,10859,22528,0.5,0.5,0.03,0.52,0.04,0.04,0.03,0.03,0.5,0.0,0.0,1.0,0.21,0.0,,115.07710396527922,12.857029201051946,False,0.1069241041161756,0.05000000000000005,6021,328,11732,127043,15090,107015,260880,0.53,0.46,0.1,0.44,-0.04,0.1,0.11,0.09,0.54,-0.01,-0.02,0.99,0.48,0.0,,38,920.0,10068.0,2352.0,3194.0,16534.0,0.66,0.25,0.2,0.28,0.13,0.22,0.19,0.14,0.65,0.02,-0.12,0.81,0.72,0.0,,58,120.0,6527.0,516.0,1273.0,8436.0,0.79,0.17,0.08,0.19,0.14,0.09,0.07,0.06,0.78,0.0,-0.06,0.65,0.39,0.0,,40,1267.0,3023.0,2336.0,1439.0,8065.0,0.53,0.34,0.45,0.35,0.05,0.47,0.44,0.25,0.52,0.03,-0.2,0.92,0.99,0.0,
53,JavadocMethod,2693.0,18779.0,6043.0,5520.0,33035.0,0.65,0.25,0.26,0.31,0.24,0.33,0.24,0.19,0.62,0.05,-0.13,0.81,0.83,0.0,,499,10868,404,10757,22528,0.5,0.5,0.04,0.55,0.11,0.04,0.04,0.04,0.5,0.01,0.01,1.0,0.24,0.0,,117.31274029898887,15.092665534761608,True,0.7748704892363613,0.040000000000000036,7318,284,13775,129135,12998,104972,260880,0.55,0.46,0.1,0.51,0.13,0.12,0.09,0.1,0.54,0.02,0.01,0.99,0.48,0.0,,57,1012.0,9663.0,2757.0,3102.0,16534.0,0.65,0.25,0.23,0.27,0.08,0.25,0.22,0.15,0.64,0.01,-0.14,0.81,0.77,0.0,,31,134.0,6695.0,348.0,1259.0,8436.0,0.81,0.17,0.06,0.28,0.68,0.1,0.05,0.08,0.8,0.02,-0.03,0.65,0.32,0.0,,49,1547.0,2421.0,2938.0,1159.0,8065.0,0.49,0.34,0.56,0.34,0.03,0.57,0.55,0.27,0.48,0.02,-0.26,0.92,0.99,0.0,
54,NonEmptyAtclauseDescription,906.0,22799.0,2023.0,7307.0,33035.0,0.72,0.25,0.09,0.31,0.24,0.11,0.08,0.09,0.71,0.02,-0.05,0.81,0.43,0.0,,159,11147,125,11097,22528,0.5,0.5,0.01,0.56,0.12,0.01,0.01,0.01,0.5,0.0,0.0,1.0,0.1,0.0,,115.07561685009752,12.85554208587024,False,0.08240482693938697,0.06000000000000005,2567,162,7447,137161,4972,111300,260880,0.55,0.46,0.05,0.6,0.32,0.06,0.03,0.06,0.54,0.03,0.02,0.99,0.28,0.0,,47,298.0,11627.0,793.0,3816.0,16534.0,0.72,0.25,0.07,0.27,0.1,0.07,0.06,0.06,0.72,0.0,-0.04,0.81,0.35,0.0,,14,66.0,6943.0,100.0,1327.0,8436.0,0.83,0.17,0.02,0.4,1.41,0.05,0.01,0.04,0.82,0.01,-0.0,0.65,0.14,0.0,,98,542.0,4229.0,1130.0,2164.0,8065.0,0.59,0.34,0.21,0.32,-0.03,0.2,0.21,0.14,0.6,-0.01,-0.11,0.92,0.74,0.0,
55,TrailingComment,2181.0,19878.0,4944.0,6032.0,33035.0,0.67,0.25,0.22,0.31,0.23,0.27,0.2,0.17,0.64,0.04,-0.11,0.81,0.75,0.0,,415,10906,366,10841,22528,0.5,0.5,0.03,0.53,0.06,0.04,0.03,0.04,0.5,0.0,0.0,1.0,0.22,0.0,,117.0283598258001,14.80828506157282,True,0.14502761328623126,0.05000000000000005,5665,303,10641,130704,11429,108106,260880,0.54,0.46,0.08,0.48,0.06,0.09,0.08,0.08,0.54,0.01,-0.01,0.99,0.42,0.0,,56,744.0,10385.0,2035.0,3370.0,16534.0,0.67,0.25,0.17,0.27,0.08,0.18,0.16,0.12,0.67,0.01,-0.1,0.81,0.65,0.0,,62,44.0,6849.0,194.0,1349.0,8436.0,0.82,0.17,0.03,0.18,0.12,0.03,0.03,0.03,0.82,0.0,-0.02,0.65,0.19,0.0,,63,1393.0,2644.0,2715.0,1313.0,8065.0,0.5,0.34,0.51,0.34,0.01,0.51,0.51,0.26,0.5,0.01,-0.25,0.92,1.0,0.0,
56,JavadocTagContinuationIndentation,450.0,23804.0,1018.0,7763.0,33035.0,0.73,0.25,0.04,0.31,0.23,0.05,0.04,0.05,0.73,0.01,-0.02,0.81,0.26,0.0,,68,11188,84,11188,22528,0.5,0.5,0.01,0.45,-0.1,0.01,0.01,0.01,0.5,-0.0,-0.0,1.0,0.06,0.0,,115.58751237099187,13.367437606764595,False,0.10453554383611106,0.08999999999999997,1084,109,2055,140743,1390,116692,260880,0.55,0.46,0.01,0.6,0.31,0.02,0.01,0.02,0.54,0.01,0.0,0.99,0.1,0.0,,123,107.0,12016.0,404.0,4007.0,16534.0,0.73,0.25,0.03,0.21,-0.16,0.03,0.03,0.02,0.74,-0.0,-0.02,0.81,0.2,0.0,,95,8.0,6995.0,48.0,1385.0,8436.0,0.83,0.17,0.01,0.14,-0.13,0.01,0.01,0.01,0.83,-0.0,-0.01,0.65,0.06,0.0,,22,335.0,4793.0,566.0,2371.0,8065.0,0.64,0.34,0.11,0.37,0.11,0.12,0.11,0.1,0.63,0.01,-0.04,0.92,0.51,0.0,
57,DeclarationOrder,2696.0,18668.0,6154.0,5517.0,33035.0,0.65,0.25,0.27,0.3,0.23,0.33,0.25,0.19,0.62,0.05,-0.14,0.81,0.84,0.0,,543,10810,462,10713,22528,0.5,0.5,0.04,0.54,0.08,0.05,0.04,0.05,0.5,0.01,0.01,1.0,0.26,0.0,,116.6904613823343,14.470386618107055,True,0.6361143678486,0.06000000000000005,6912,469,14538,106892,35241,104209,260880,0.47,0.46,0.19,0.29,-0.36,0.12,0.25,0.09,0.53,-0.12,-0.15,0.99,0.7,0.02,,50,1048.0,9653.0,2767.0,3066.0,16534.0,0.65,0.25,0.23,0.27,0.1,0.25,0.22,0.15,0.64,0.02,-0.14,0.81,0.78,0.0,,108,69.0,6531.0,512.0,1324.0,8436.0,0.78,0.17,0.07,0.12,-0.28,0.05,0.07,0.04,0.79,-0.01,-0.06,0.65,0.36,0.0,,35,1579.0,2484.0,2875.0,1127.0,8065.0,0.5,0.34,0.55,0.35,0.06,0.58,0.54,0.28,0.48,0.04,-0.24,0.92,0.99,0.0,
58,ModifiedControlVariable,140.0,24505.0,317.0,8073.0,33035.0,0.75,0.25,0.01,0.31,0.23,0.02,0.01,0.02,0.74,0.0,-0.01,0.81,0.11,0.0,,19,11240,32,11237,22528,0.5,0.5,0.0,0.37,-0.25,0.0,0.0,0.0,0.5,-0.0,-0.0,1.0,0.02,0.0,,116.45185744410402,14.231782679876744,True,0.0705572182552125,0.08999999999999997,450,42,1873,140465,1668,116874,260880,0.55,0.46,0.01,0.53,0.16,0.02,0.01,0.02,0.54,0.0,0.0,0.99,0.1,0.0,,66,26.0,12346.0,74.0,4088.0,16534.0,0.75,0.25,0.01,0.26,0.04,0.01,0.01,0.01,0.75,0.0,-0.0,0.81,0.05,0.0,,20,1.0,7041.0,2.0,1392.0,8436.0,0.83,0.17,0.0,0.33,1.02,0.0,0.0,0.0,0.83,0.0,-0.0,0.65,0.0,0.0,,109,113.0,5118.0,241.0,2593.0,8065.0,0.65,0.34,0.04,0.32,-0.05,0.04,0.04,0.04,0.65,-0.0,-0.02,0.92,0.26,0.0,
59,ClassTypeParameterName,35.0,24743.0,79.0,8178.0,33035.0,0.75,0.25,0.0,0.31,0.23,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.03,0.0,,3,11271,1,11253,22528,0.5,0.5,0.0,0.75,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,,120.42476240439746,18.204687640170174,True,0.018854944385801143,0.020000000000000014,92,2,175,142073,60,118572,260880,0.55,0.46,0.0,0.74,0.64,0.0,0.0,0.0,0.54,0.0,0.0,0.99,0.01,0.0,,17,18.0,12379.0,41.0,4096.0,16534.0,0.75,0.25,0.0,0.31,0.23,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.03,0.0,,112,1.0,7034.0,9.0,1392.0,8436.0,0.83,0.17,0.0,0.1,-0.39,0.0,0.0,0.0,0.83,-0.0,-0.0,0.65,0.01,0.0,,38,16.0,5330.0,29.0,2690.0,8065.0,0.66,0.34,0.01,0.36,0.06,0.01,0.01,0.01,0.66,0.0,-0.0,0.92,0.05,0.0,
60,SimplifyBooleanExpression,116.0,24558.0,264.0,8097.0,33035.0,0.75,0.25,0.01,0.31,0.23,0.01,0.01,0.01,0.75,0.0,-0.01,0.81,0.09,0.0,,32,11252,20,11224,22528,0.5,0.5,0.0,0.62,0.23,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.02,0.0,,113.68890874324872,11.46883397902144,True,0.2492191093450923,0.11,342,41,895,141331,802,117852,260880,0.55,0.46,0.01,0.53,0.16,0.01,0.01,0.01,0.54,0.0,0.0,0.99,0.06,0.0,,59,36.0,12321.0,99.0,4078.0,16534.0,0.75,0.25,0.01,0.27,0.07,0.01,0.01,0.01,0.75,0.0,-0.01,0.81,0.07,0.0,,126,0.0,7037.0,6.0,1393.0,8436.0,0.83,0.17,0.0,0.0,-1.0,0.0,0.0,0.0,0.83,-0.0,-0.0,0.65,0.01,0.0,,81,80.0,5200.0,159.0,2626.0,8065.0,0.65,0.34,0.03,0.33,-0.0,0.03,0.03,0.03,0.65,-0.0,-0.01,0.92,0.19,0.0,
61,MethodParamPad,210.0,24337.0,485.0,8003.0,33035.0,0.74,0.25,0.02,0.3,0.22,0.03,0.02,0.02,0.74,0.0,-0.01,0.81,0.15,0.0,,54,11228,44,11202,22528,0.5,0.5,0.0,0.55,0.1,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.04,0.0,,111.18168062855585,8.961605864328574,True,0.0607111750515648,0.14,517,82,2441,138934,3199,116306,260880,0.54,0.46,0.02,0.43,-0.05,0.02,0.02,0.02,0.54,-0.0,-0.01,0.99,0.15,0.0,,120,54.0,12230.0,190.0,4060.0,16534.0,0.74,0.25,0.01,0.22,-0.11,0.01,0.02,0.01,0.74,-0.0,-0.01,0.81,0.11,0.0,,86,6.0,7010.0,33.0,1387.0,8436.0,0.83,0.17,0.0,0.15,-0.07,0.0,0.0,0.0,0.83,-0.0,-0.0,0.65,0.04,0.0,,25,150.0,5097.0,262.0,2556.0,8065.0,0.65,0.34,0.05,0.36,0.09,0.06,0.05,0.05,0.65,0.0,-0.02,0.92,0.29,0.0,
62,MissingSwitchDefault,540.0,23567.0,1255.0,7673.0,33035.0,0.73,0.25,0.05,0.3,0.21,0.07,0.05,0.06,0.72,0.01,-0.03,0.81,0.3,0.0,,70,11192,80,11186,22528,0.5,0.5,0.01,0.47,-0.07,0.01,0.01,0.01,0.5,-0.0,-0.0,1.0,0.06,0.0,,114.065302529269,11.845227765041725,True,0.20858976099712515,0.06000000000000005,1537,97,5208,136913,5220,113539,260880,0.54,0.46,0.04,0.5,0.1,0.04,0.04,0.04,0.54,0.01,-0.0,0.99,0.24,0.0,,54,156.0,11999.0,421.0,3958.0,16534.0,0.74,0.25,0.03,0.27,0.09,0.04,0.03,0.03,0.73,0.0,-0.02,0.81,0.22,0.0,,26,10.0,7020.0,23.0,1383.0,8436.0,0.83,0.17,0.0,0.3,0.84,0.01,0.0,0.01,0.83,0.0,-0.0,0.65,0.04,0.0,,112,374.0,4548.0,811.0,2332.0,8065.0,0.61,0.34,0.15,0.32,-0.06,0.14,0.15,0.11,0.62,-0.01,-0.08,0.92,0.6,0.0,
63,StaticVariableName,286.0,24157.0,665.0,7927.0,33035.0,0.74,0.25,0.03,0.3,0.21,0.03,0.03,0.03,0.74,0.0,-0.02,0.81,0.19,0.0,,54,11222,50,11202,22528,0.5,0.5,0.0,0.52,0.04,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.04,0.0,,117.75450938835422,15.534434624126973,True,0.03629944725019757,0.12,674,89,1978,140140,1993,116769,260880,0.54,0.46,0.02,0.5,0.09,0.02,0.01,0.02,0.54,0.0,-0.0,0.99,0.11,0.0,,27,95.0,12185.0,235.0,4019.0,16534.0,0.74,0.25,0.02,0.29,0.16,0.02,0.02,0.02,0.74,0.0,-0.01,0.81,0.14,0.0,,44,19.0,6972.0,71.0,1374.0,8436.0,0.83,0.17,0.01,0.21,0.28,0.01,0.01,0.01,0.83,0.0,-0.01,0.65,0.09,0.0,,101,172.0,5000.0,359.0,2534.0,8065.0,0.64,0.34,0.07,0.32,-0.03,0.06,0.07,0.06,0.64,-0.0,-0.03,0.92,0.35,0.0,
64,UnnecessaryParentheses,1300.0,21810.0,3012.0,6913.0,33035.0,0.7,0.25,0.13,0.3,0.21,0.16,0.12,0.12,0.69,0.02,-0.07,0.81,0.56,0.0,,251,11063,209,11005,22528,0.5,0.5,0.02,0.55,0.09,0.02,0.02,0.02,0.5,0.0,0.0,1.0,0.14,0.0,,114.43224718792648,12.212172423699215,True,0.4866900768947269,0.07999999999999996,3148,270,7918,131436,10697,110829,260880,0.53,0.46,0.07,0.43,-0.07,0.07,0.08,0.06,0.54,-0.01,-0.02,0.99,0.37,0.0,,77,389.0,11278.0,1142.0,3725.0,16534.0,0.71,0.25,0.09,0.25,0.02,0.09,0.09,0.07,0.7,0.0,-0.06,0.81,0.45,0.0,,80,23.0,6923.0,120.0,1370.0,8436.0,0.82,0.17,0.02,0.16,-0.03,0.02,0.02,0.02,0.82,-0.0,-0.01,0.65,0.12,0.0,,74,888.0,3609.0,1750.0,1818.0,8065.0,0.56,0.34,0.33,0.34,0.0,0.33,0.33,0.2,0.56,0.0,-0.16,0.92,0.91,0.0,
65,SuperClone,25.0,24764.0,58.0,8188.0,33035.0,0.75,0.25,0.0,0.3,0.21,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.03,0.0,,9,11261,11,11247,22528,0.5,0.5,0.0,0.45,-0.1,0.0,0.0,0.0,0.5,-0.0,-0.0,1.0,0.01,0.0,,114.00814703970184,11.788072275474574,True,0.012091954042029052,0.2,80,20,656,141830,303,118091,260880,0.55,0.46,0.0,0.68,0.5,0.01,0.0,0.01,0.54,0.0,0.0,0.99,0.04,0.0,,70,10.0,12391.0,29.0,4104.0,16534.0,0.75,0.25,0.0,0.26,0.03,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.02,0.0,,124,0.0,7042.0,1.0,1393.0,8436.0,0.83,0.17,0.0,0.0,-1.0,0.0,0.0,0.0,0.83,-0.0,-0.0,0.65,0.0,0.0,,44,15.0,5331.0,28.0,2691.0,8065.0,0.66,0.34,0.01,0.35,0.04,0.01,0.01,0.01,0.66,0.0,-0.0,0.92,0.05,0.0,
66,ParameterAssignment,1109.0,22250.0,2572.0,7104.0,33035.0,0.71,0.25,0.11,0.3,0.21,0.14,0.1,0.1,0.7,0.02,-0.06,0.81,0.5,0.0,,175,11120,152,11081,22528,0.5,0.5,0.01,0.54,0.07,0.02,0.01,0.02,0.5,0.0,0.0,1.0,0.11,0.0,,114.27694161324337,12.056866849016107,True,0.1252665559709452,0.05000000000000005,3155,183,7077,134804,7329,111670,260880,0.54,0.46,0.06,0.49,0.08,0.06,0.05,0.06,0.54,0.01,-0.0,0.99,0.31,0.0,,76,290.0,11569.0,851.0,3824.0,16534.0,0.72,0.25,0.07,0.25,0.02,0.07,0.07,0.06,0.72,0.0,-0.05,0.81,0.36,0.0,,37,14.0,6999.0,44.0,1379.0,8436.0,0.83,0.17,0.01,0.24,0.46,0.01,0.01,0.01,0.83,0.0,-0.0,0.65,0.06,0.0,,100,805.0,3682.0,1677.0,1901.0,8065.0,0.56,0.34,0.31,0.32,-0.03,0.3,0.31,0.18,0.56,-0.01,-0.16,0.92,0.89,0.0,
67,AvoidInlineConditionals,3123.0,17573.0,7249.0,5090.0,33035.0,0.63,0.25,0.31,0.3,0.21,0.38,0.29,0.2,0.59,0.06,-0.17,0.81,0.9,0.0,,488,10873,399,10768,22528,0.5,0.5,0.04,0.55,0.1,0.04,0.04,0.04,0.5,0.01,0.01,1.0,0.24,0.0,,114.75862912888728,12.538554364659989,True,0.6382622119704303,0.040000000000000036,8011,293,16372,125064,17069,102375,260880,0.54,0.46,0.13,0.49,0.08,0.14,0.12,0.12,0.53,0.02,-0.0,0.99,0.55,0.0,,55,1245.0,9056.0,3364.0,2869.0,16534.0,0.62,0.25,0.28,0.27,0.09,0.3,0.27,0.17,0.61,0.02,-0.17,0.81,0.85,0.0,,90,68.0,6651.0,392.0,1325.0,8436.0,0.8,0.17,0.05,0.15,-0.1,0.05,0.06,0.04,0.8,-0.0,-0.05,0.65,0.31,0.0,,60,1810.0,1866.0,3493.0,896.0,8065.0,0.46,0.34,0.66,0.34,0.02,0.67,0.65,0.29,0.45,0.02,-0.31,0.92,0.93,0.0,
